review_body;Results;Value
Das Produkt kam bis heute nicht bei mir an. Ich bin stocksauer! Trotz der langen Lieferzeit (sollte zwischen dem 1. und 10. März geliefert werde), ist das Produkt auch eine Woche nach dem spätesten Lieferdatum nicht angekommen.;1;
Gebrauchte Spinner, teilzerlegt und teilweise mit bereits oxidierten Fingerabdrücken (s. Foto) auf dem Metall. Ekelhaft.;1;
Bei beiden Bestellungen war jeweils eine Glühbirne defekt. Von Qualität kann dar keine Rede sein.;1;
Sofort zurückgeschickt;1;
"wie man auf den Fotos erkennen kann ist das Glas zu schmal für das Display, damit schimmert auf beiden Seiten ein Teil vom Display unterm Rand durch zudem hat das Glas einen schwarzen Rand der ca 2mm breit ist und das SmartphoneDisplay optisch absolut abwertet - das blöde hier, der Rand ist eine Art Klebefolie die das Glas befestigt, doch durch die schlechte Passgenauigkeit sitzt das Glas nicht 100% und man hat immer ein ""knack-Geräusch"" beim Tippen durch den unvorteilhaften Sitz des Glases. Bereits nach 1 Woche hat sich jede Menge Staub an den Rändern gesammelt wie ich beim entfernen gesehen habe. Bin jetzt auf eine Folie umgestiegen und 100mal zufriedener - auch wenn das Anbringen etwas schwieriger war. Lange Rede kurzer Sinn - Kaufempfehlung = 0";1;
nach dem ersten Tragen ist eine Naht ca. 6cm aufgegangen. Da war der Stoff arg knapp genäht. Meine Frau hat Stelle genäht und hoffe nun das es nicht weiter aufgeht. Wenn sie die Hose nicht gebraucht hätte wäre sie wieder zurückgegangen. Bei immerhin 30€ hatte ich schon halbwegs Qualität erwartet.;1;
Leider viel zu klein und daher unbrauchbar. 0 Sterne !!!!;1;
Anfangs war ich von dem Adapter für den Preis recht zufrieden. Tut was er soll, allerdings mit ein paar Macken und Aussetzern aber nicht weiter schlimm. Nach nichtmal knapp 8 Monaten tut sich allerdings gar nichts mehr, obwohl der Adapter nie viel bewegt wurde oder sonstiges. Einmal ab und wieder dran und dann war er hin. Deswegen kann ich von einem Kauf nur abraten.;1;
Nach wenigen Wochen an mehreren Stellen geblättert!;1;
Bei zuvielen Sensoren versagt die ganze Anlage. Eigentlich habe ich 9 Sensoren, musste aber 3 außer Betrieb nehmen damit die Anlage wieder funktioniert. Keine Unterstützung für Google Home.;1;
Das Material schlägt Falten, so daß nicht ordentlich vakuumiert werden kann. Mit Material anderer Hersteller ist mir das bisher nicht passiert.;1;
Ja also Fernbedienung war nicht dabei das Paket war voll kaputt es war keine Beschreibung dabei und das Gerät geht nicht und ich bin sehr sauer ??;1;
Funktioniert nicht, habe KAUFPREIS zurück bekommen;1;
Nachdem Amazon meine Bewertung nicht gefallen hat nun ein zweites Mal: Bei der Transportbox handelt es sich um den Blister in dem die Akkus geliefert werden! Total wertlos! Ich hätte mich über eine stabile Box für eine bevorstehende Trekkingreise sehr gefreut.;1;
Die Rollen hacken extrem, so dass normales Fahren absolut nicht möglich ist. Ich würde es niemandem empfehlen!;1;
Miese Story, schlecht synchronisiert. Lohnt nicht.;1;
Sollte gestern geliefert werden laut Info liegt es in meinem Briefkasten... leider ist nichts da. Werde die Zahlung mit Kreditkarte stornieren lassen.;1;
Ich habe sie mir wegen Mücken und Fruchtfliegen gekauft. Wirk gar nicht! Null!;1;
Hab das Ding an meinem kleinen Mitsubishi Colt versucht anzuschließen .. naja funktioniert halt nicht. Weder das Licht am Gerät geht an, noch kommt überhaupt Musik aus den Lautsprechern...;1;
Das kostüm kam leider ohne stirnband und Gürtel. Für die Grösse M ist das Oberteil ganz schön groß. Ich würde es nicht nochmal bestellen.;1;
Ware nie erhalten, keine Kommunikation mit Händler möglich, Geld wurde über Amazone zurück erstattet.;1;
Am Anfang sehr gut. Leider nach 8 Monaten Totalausfall und defekt. Lässt sich nicht mehr mit der Elterneinheit verbinden, Grund unbekannt. Würde es nicht weiter empfehlen.;1;
Die Erwartung war, dass es einfach wäre, die Messer des Haushalts mit diesem Ding wieder dazu zu bringen, ihrer Schneide-Aufgabe nachkommen zu können. Leider eine falsche Erwartungshaltung. Das Werkzeug scheint untauglich zu sein.;1;
Glasperlenspiel aus China. bloß eben nicht authentisch.Ich hoffe es handelt sich hierbei nur um einen Produktionsfehler und es passiert niemand anderem.;1;
Verkäufer liefert erst den falschen Artikel und erstattet dann 1€. Hä? Unverschämtheit. Finger weg.;1;
Schade, leider waren die Tiere alle tot. Ob nun der Feiertag schuld ist oder die ausgelaufene Versandtüte - vermutlich beides...;1;
Die Cam ist grundsätzlich voll in Ordnung. Aber, wieso soll sie am PC plötzlich eine höhere Auflösung schaffen als unter Android? Diese Produktbeschreibung ist falsch.;1;
Kaum zu glauben. Nach dem Erwärmen von zwei Tellern in einer handelsüblichen Mikrowelle ist der untere Tand der Haube teilweise weggeschmolzen. Nicht nur, dass die Abdeckung jetzt hinüber ist, Reste des Kunststoffe kleben auch auf dem Drehteller...;1;
Hülle fühlt sich wie billiges Plastik an nicht zu empfehlen !;1;
Eine schrotte Hülle. Was man hier bestellt hat ist ganz anderes was man bekommt. Die Beschreibung von dem Produkt stimmt überhaupt nicht.;1;
Das Glas passt einfach nicht. links und rechts sitzt das Glas nicht auf dem Display an. Es Sammelt sich schnell staub unter dem Glas an.;1;
Nach wochen ohne lieferung habe ich auf die lieferung verzichtet.;1;
"Unsere Kinder (7 u. 9) fanden den Film ""etwas gruselig, sonst ganz gut"", ich habe den Film dann beim zweiten Mal mitgeschaut und war schockiert!!! Geht gar nicht für Kinder!!!";1;
Schlechte Qualität und bei mir funktioniert es nicht so wie es das sollte.;1;
Netzteil ist schon defekt und Kabel ist kaputt;1;
"Ich bin eigentlich ein Fan von Julia Arden, aber dieses Buch ist eine Frechheit. Hier wurde die Story aus ""Das Lächeln in deinen Augen"" genommen, die Namen der beiden Hauptfiguren geändert und die Branche in der diese arbeiten von Versicherungen in Startup-Investment geändert. Das ist Betrug am Kunden oder die Autorin hält ihre Leserinnen für blöd, dass diese das nicht merken.";1;
Fehlende Teile / Defekte .;1;
Leider hat dieser Aschenbecher das erste Gewitter direkt nicht überlebt und ist zerbrochen. Von Robust kann hier wirklich keine Rede sein. Ich rate daher von einem Kauf ab. Sehr schlecht.;1;
Klapphocker war beschädigt eine Leiste lag lose im Karton war ausgebrochen;1;
Künstlich im Geschmack. Sehr viel Sauce im Vergleich zu den Bohnen;1;
Viel zu dick und erschwert die Bedienung.;1;
Entschuldigung aber das SCh. ...... Habe sechs Teile gekauft. Das Material ist hart und man kann damit nichts machen. Die Augen sind der Witz, Plastikaugen die ich für 1.00 Euro kaufen kann( in der Tüte ca 20 Stück) Was mache ich mit der Knetmasse Die einzige Reaktion war, ich habe abends den Magnet auf die Schachtel gelegt und morgens war die Masse oben;1;
Habe den Artikel nie bekommen, nie wieder;1;
Nee damit will ich echt keine Kapseln machen. Lasst lieber die Finger davon. Verarbeitet ist es nicht sehr gut, dazu Ölrückstände. Der Verkäufer fängt jetzt bei der Rückabwicklung an zu verhandeln.... Nervt Mal sehen ob ich mein Geld wieder sehe;1;
Hält nicht das was es verspricht;1;
Ich habe dieses Mittel versucht, es hat bei mir aber leider nicht gereinigt. Schade. Von meiner Seite aus ist es nicht zu empfehlen.;1;
Sieht schön aus, war aber beschädigt - am Rand war ein Stück abgebrochen. Das hätte man sicherlich kleben können. ABER: Der Deckel ist viel zu klein, fällt in den Aschenbecher rein - siehe Fotos. So habe ich mir das nicht vorgestellt. Ich werde das Teil zurückgeben.;1;
Dieses Headset ist ganz schlecht. Gefällt mir garnicht.;1;
Mit diesen Druckerpatronen bin ich überhaupt nicht zufrieden. Sie waren ruckzuck leer.;1;
Finger weg von dem Schrott!!!!! Schon aussen alles voller Schimmel. Wie kann sowas nur verkauft werden?????;1;
Story und schauspielerische Leistung auf GZSZ Niveau. Absolut unterirdisch. Da gibt es deutlich bessere Filme.;1;
Sieht im Original ganz anders und total billig aus.;1;
...sie sind schön, aber niemals ist das 925 Silber......die sind unecht und das vertrage ich nicht....;1;
Ausgepackt angefasst...blaue Hände... gewaschen na klar das weiß ist jetzt auch blau. Selb die Holzstangen sind Blau. Nicht schön.;1;
Ich hätte mir etwas mehr Qualität erwartet Das was ich hier geliefert bekommen habe sieht aus wie ein billiges 10€ Teil und das wäre noch überteuert. Ich bin ziemlich enttäuscht:-(;1;
Zwie mal bestellt: zwei mal Disc 1 kaputt!;1;
Nicht empfehlenswert! Das ist keine richtige Panzerfolie. Eher eine Plastikfolie. Die weißen Umrandungen sind billiges Plastik und haften nicht am iPhone! Sofort zurückgeschickt!;1;
Aufgrund der guten Rezensionen habe ich mir diesen Filter bestellt. Leider muss ich sagen, dass er mit einem 24-70 vollkommen unbrauchbar ist. Unter 50 mm Brennweite gibt es helle Ecken und die Abdunkelung ist total unregelmäßig. Ab 50mm wird es besser. Da ich gerade bei Landschaftsaufnahmen gerne mit 24mm fotografiere ist dieser Filter leider völlig unbrauchbar und geht wieder zurück.;1;
Schrott. Siehe Bilder...;1;
irgendwie billig gemacht, nicht zu vergleichen mit dem 1. teil;1;
Mir hat nichts gefallen;1;
Einige der Kabel waren nicht befestigt und sind einfach herausgefallen. Möchte man diese wieder reinstecken ist dies teilweise nicht einmal richtig möglich. Dass man für diesen Preis keine sehr wertige Verarbeitung erwarten kann ist klar aber das Produkt sollte doch zumindest in all seinen Bestandteilen, heile beim Käufer ankommen.;1;
Nach dem ersten Tragen ist der Reißverschluss schon kaputt! Sehr schade!!! Würde ich nicht mehr kaufen. Von mir keine Kaufempfehlung!;1;
